,,Group,,Name,,,Lv1,,,,,Lv2,,,,,Lv3,,,,,Lv4,,,,,Lv5,,,,,Lv6,,,,
id,CharID,Primary,Secondary,En,Jp,Combination,Type,Attribute,Base,Number,Growth,Type,Attribute,Base,Number,Growth,Type,Attribute,Base,Number,Growth,Type,Attribute,Base,Number,Growth,Attribute,Element,Base,Number,Growth,Attribute,Element,Base,Number,Growth
0,0,basic,normal,,ボルトターボ,TRUE,slash,Physical,31.2,1,2.9,slash,Physical,33.7,1,3.09999999999999,slash,Physical,113.6,1,10.4,slash,Electric,239.1,1,21.8,,,,,,,,,,
1,0,basic,derived,,落雷,TRUE,slash,Physical,31.2,1,2.9,slash,Physical,33.7,1,3.09999999999999,slash,Physical,113.6,1,10.4,strike,Electric,328.6,1,29.9,,,,,,,,,,
2,0,dodge,dash,,電弧斬り,FALSE,slash,Physical,56.7,1,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,dodge,counter,,迅雷,FALSE,slash,Electric,180.2,1,16.4,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,assist,quick,,雷呼,FALSE,slash,Electric,61.7,1,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,assist,follow,,スピニングサンダー,FALSE,slash,Electric,335.2,1,30.5,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,special,normal,,雷光斬り,FALSE,slash,Electric,93.4,1,8.5,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,special,enhance,,蒼雷斬り,FALSE,slash,Electric,583,1,53,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,chain,chain,,ソレノイドエンジン,FALSE,slash,Electric,542.4,1,49.4,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,chain,ultimate,,オーバードライブエンジン,FALSE,slash,Electric,1512.6,1,137.6,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,basic,normal,,出力全開,TRUE,pierce,Physical,68,1,6.2,pierce,Physical,7.6,1,0.700000000000001,pierce,Physical,61.8,1,5.7,pierce,Physical,12.7,1,1.2,pierce,Physical,61.8,1,5.7,pierce,Physical,49.5,1,4.5
11,1,dodge,dash,,スターライトジャッジメント,FALSE,pierce,Physical,63,1,5.8,pierce,Physical,39,1,3.6,,,,,,,,,,,,,,,,,,,,
12,1,dodge,counter,,フェアな決闘,FALSE,pierce,Physical,221.4,1,20.2,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,assist,quick,,スターライト・絆の力,FALSE,pierce,Physical,93.4,1,8.5,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,assist,follow,,急所エイム,FALSE,pierce,Physical,388.8,1,35.4,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,special,normal,,大人しくしてろ！,TRUE,pierce,Physical,24.2,1,2.2,pierce,Physical,51.7,1,4.7,pierce,Physical,50.1,1,4.6,,,,,,,,,,,,,,,
16,1,special,derived,,スイーパー・タイム,FALSE,pierce,Physical,543.8,1,49.5,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,chain,chain,,スターライトグローリー,FALSE,pierce,Physical,735.2,1,66.9,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,chain,ultimate,,スターライト・ここに輝く！,FALSE,pierce,Physical,1597.7,1,145.3,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,basic,normal,,邪兎の連打,TRUE,strike,Physical,38.9,1,3.6,strike,Physical,35.3,1,3.3,strike,Physical,124.3,1,11.3,,,,,,,,,,,,,,,
20,2,basic,normal,,邪兎の連打（弾）,TRUE,strike,Physical,9,3,0.800000000000001,strike,Physical,9,4,0.800000000000001,strike,Physical,9,20,0.800000000000001,,,,,,,,,,,,,,,
21,2,basic,enhance,,思うがままに(弾),TRUE,strike,Physical,16.4,3,1.5,strike,Physical,16.4,4,1.5,strike,Physical,16.4,20,1.5,,,,,,,,,,,,,,,
22,2,dodge,dash,,開けてびっくり（前方）,FALSE,strike,Physical,41.2,1,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,dodge,dash,,開けてびっくり（前方/弾）,FALSE,strike,Physical,9,13,0.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,dodge,dash,,開けてびっくり（後方）,FALSE,strike,Physical,60,1,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,dodge,counter,,牽制砲撃,FALSE,strike,Physical,182.4,1,16.6,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,assist,quick,,救急砲撃,FALSE,strike,Ether,63.4,1,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,assist,follow,,邪兎の出番！,FALSE,strike,Ether,246.7,1,11.3,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,special,normal,,シュガーボム,FALSE,strike,Ether,52.6,1,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,special,enhance,,シュガーボムサンド,FALSE,strike,Ether,215,1,19.6,strike,Ether,215,1,19.6,strike,Ether,387,1,35.2,,,,,,,,,,,,,,,
30,2,chain,chain,,高級エーテルボム,FALSE,strike,Ether,209.6,1,19.2,strike,Ether,283,1,25.8,,,,,,,,,,,,,,,,,,,,
31,2,chain,ultimate,,特製エーテルグレネード,FALSE,strike,Ether,646.8,1,58.8000000000001,strike,Ether,873.2,1,79.4,,,,,,,,,,,,,,,,,,,,
32,24,basic,normal,,風花,TRUE,slash,Physical,26.9,1,2.5,slash,Physical,29.6,1,2.7,slash,Ice,62.8,1,5.8,slash,Ice,96.5,1,8.8,slash,Ice,129,1,11.8,,,,,
33,24,basic,charge,,霜月,FALSE,slash,Ice,454.7,1,41.4,slash,Ice,858.1,1,78.1,slash,Ice,2141.1,1,194.7,,,,,,,,,,,,,,,
34,24,dodge,dash,,冬蜂,FALSE,slash,Physical,25.8,1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
35,24,dodge,counter,,寒雀,FALSE,slash,Ice,245.9,1,22.4,,,,,,,,,,,,,,,,,,,,,,,,,
36,24,assist,quick,,花信風,FALSE,slash,Ice,104.5,1,9.5,,,,,,,,,,,,,,,,,,,,,,,,,
37,24,assist,follow,,返り花,FALSE,slash,Ice,337.8,1,30.8,,,,,,,,,,,,,,,,,,,,,,,,,
38,24,special,normal,,深雪,FALSE,slash,Ice,35.8,1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
39,24,special,enhance,,飛雪,TRUE,slash,Ice,393.4,1,35.9,slash,Ice,483.2,1,44.0000000000001,,,,,,,,,,,,,,,,,,,,
40,24,chain,chain,,春来たる,FALSE,slash,Ice,628,1,57.3,,,,,,,,,,,,,,,,,,,,,,,,,
41,24,chain,ultimate,,なごり雪,FALSE,slash,Ice,2388,1,217.1,,,,,,,,,,,,,,,,,,,,,,,,,
42,3,basic,normal,,猫の引っ掻き,TRUE,slash,Physical,55.2,1,5.09999999999999,slash,Physical,62.6,1,5.7,slash,Physical,72.7,1,6.7,slash,Physical,170.2,1,15.5,slash,Physical,123.6,1,11.3,,,,,
43,3,basic,derived,,赤き刃,TRUE,slash,Physical,71.8,1,6.60000000000001,,,,,,,,,,,,,,,,,,,,,,,,,
44,3,dodge,dash,,どこを見てるの？,FALSE,slash,Physical,35.1,1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
45,3,dodge,counter,,ファントムクロー,FALSE,slash,Physical,227.9,1,20.8,,,,,,,,,,,,,,,,,,,,,,,,,
46,3,assist,quick,,猫の手貸すぞ☆,FALSE,slash,Physical,94.5,1,8.59999999999999,,,,,,,,,,,,,,,,,,,,,,,,,
47,3,assist,follow,,迅影,FALSE,slash,Physical,300.4,1,27.4,,,,,,,,,,,,,,,,,,,,,,,,,
48,3,special,normal,,奇襲,FALSE,strike,Physical,47.3,1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
49,3,special,enhance,,めちゃコワ奇襲！,FALSE,slash,Physical,539.7,1,49.0999999999999,,,,,,,,,,,,,,,,,,,,,,,,,
50,3,chain,chain,,クロースワイプ,FALSE,slash,Physical,536.2,1,48.8,,,,,,,,,,,,,,,,,,,,,,,,,
51,3,chain,ultimate,,クロースマッシュ,FALSE,slash,Physical,1571.1,1,142.9,,,,,,,,,,,,,,,,,,,,,,,,,
52,4,basic,normal,,抜刀散火,TRUE,slash,Physical,34.4,1,3.2,slash,Physical,41.2,1,3.8,slash,Physical,102.8,1,9.40000000000001,slash,Physical,213.4,1,19.4,,,,,,,,,,
53,4,basic,enhance,,火力鎮圧,TRUE,slash,Fire,55.1,1,5.1,slash,Fire,57.2,1,5.2,slash,Fire,132,1,12,slash,Fire,340.7,1,31,,,,,,,,,,
54,4,dodge,dash,,熾火,FALSE,slash,Physical,68.3,1,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
55,4,dodge,enhance,,火力鎮圧,FALSE,slash,Fire,78.8,1,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
56,4,dodge,counter,,逆火,FALSE,slash,Fire,262,1,23.9,,,,,,,,,,,,,,,,,,,,,,,,,
57,4,assist,quick,,火力支援,FALSE,slash,Fire,120.8,1,11,,,,,,,,,,,,,,,,,,,,,,,,,
58,4,assist,follow,,再燃,FALSE,slash,Fire,383.7,1,34.9,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,special,normal,,烈火,FALSE,slash,Fire,52.6,1,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
60,4,special,enhance,,燃え盛る烈火,FALSE,slash,Fire,675,1,61.4,,,,,,,,,,,,,,,,,,,,,,,,,
61,4,chain,chain,,滾る烈火,FALSE,slash,Fire,632.5,1,57.5,,,,,,,,,,,,,,,,,,,,,,,,,
62,4,chain,ultimate,,轟く烈火,FALSE,slash,Fire,2103,1,191.2,,,,,,,,,,,,,,,,,,,,,,,,,
63,5,basic,normal,,お掃除開始,TRUE,slash,Physical,82,1,7.5,slash,Physical,76.6,1,7,slash,Physical,179.2,1,16.3,slash,Physical,233.4,1,21.3,slash,Physical,421.2,1,38.3,,,,,
64,5,dodge,dash,,『断』,FALSE,slash,Physical,96.7,1,8.8,,,,,,,,,,,,,,,,,,,,,,,,,
65,5,dodge,counter,,『捨』,FALSE,slash,Physical,271.2,1,24.8,,,,,,,,,,,,,,,,,,,,,,,,,
66,5,assist,quick,,応急処置,FALSE,slash,Physical,215,1,19.6,,,,,,,,,,,,,,,,,,,,,,,,,
67,5,assist,follow,,テキパキお掃除,FALSE,slash,Physical,547.5,1,49.8,,,,,,,,,,,,,,,,,,,,,,,,,
68,5,special,normal,,強力清掃,FALSE,slash,Physical,66.7,1,6.09999999999999,slash,Physical,37.5,1,3.5,slash,Physical,25,1,2.3,,,,,,,,,,,,,,,
69,5,special,enhance,,スカートの裾に注意,FALSE,slash,Physical,345.1,1,31.4,slash,Physical,1035.2,1,94.2000000000001,slash,Physical,345.1,1,31.4,,,,,,,,,,,,,,,
70,5,chain,chain,,ごめんなさい…,FALSE,slash,Physical,687.3,1,62.5,,,,,,,,,,,,,,,,,,,,,,,,,
71,5,chain,ultimate,,も、申し訳ございません！,FALSE,slash,Physical,2028.8,1,184.5,,,,,,,,,,,,,,,,,,,,,,,,,
72,6,basic,normal,,熱血準備体操,TRUE,strike,Physical,67.8,1,6.2,strike,Physical,92.3,1,8.40000000000001,strike,Physical,109.8,1,10,pierce,Physical,229.1,1,20.9,,,,,,,,,,
73,6,basic,enhance,,熱血準備体操（爆発状態）,TRUE,strike,Electric,240.9,1,21.9,pierce,Electric,469.2,1,42.7,pierce,Electric,456.9,1,41.6,,,,,,,,,,,,,,,
74,6,dodge,dash,,正面衝突,FALSE,strike,Physical,68.4,1,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
75,6,dodge,counter,,拳骨応酬,FALSE,strike,Physical,271.2,1,24.7,,,,,,,,,,,,,,,,,,,,,,,,,
76,6,dodge,enhance,,オーバーロード・ドリルブレイク（爆発状態）,FALSE,pierce,Electric,465.4,1,42.4,,,,,,,,,,,,,,,,,,,,,,,,,
77,6,assist,quick,,肩を並べて,FALSE,strike,Physical,263.4,1,24,,,,,,,,,,,,,,,,,,,,,,,,,
78,6,assist,follow,,極限突進,FALSE,pierce,Electric,325.8,1,29.7,,,,,,,,,,,,,,,,,,,,,,,,,
79,6,special,normal,,回れ、兄弟！,FALSE,pierce,Electric,44.2,1,4.09999999999999,,,,,,,,,,,,,,,,,,,,,,,,,
80,6,special,enhance,,バースト・ドリルブレイク（爆発状態）,FALSE,pierce,Electric,231.4,1,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
81,6,special,enhance,,兄弟、天を衝け！,FALSE,pierce,Electric,195.1,1,17.8,,,,,,,,,,,,,,,,,,,,,,,,,
82,6,chain,chain,,回れ回れ！,FALSE,pierce,Electric,640.7,1,58.3,,,,,,,,,,,,,,,,,,,,,,,,,
83,6,chain,ultimate,,回れ！回れ！！回れ！！！,FALSE,pierce,Electric,1816.4,1,165.2,,,,,,,,,,,,,,,,,,,,,,,,,
